speaker,turn_count,turns_with_claims,claim_count,turn_chars_total,claim_chars_total,turn_words_total,claim_words_total,turns_with_claims_pct,spans_per_turn,span_chars_over_turn_chars_pct,span_words_over_turn_words_pct
KERRY,33,27,155,38726,11805,7137,2125,81.81818181818181,4.696969696969697,30.48339616794918,29.77441502031666
HARRIS,35,21,125,32993,9974,5914,1736,60.0,3.5714285714285716,30.230654987421573,29.354075076090634
GORE,49,35,140,39443,11350,7206,2058,71.42857142857143,2.857142857142857,28.77570164541237,28.55953372189842
OBAMA,119,68,274,82981,21070,15033,3721,57.142857142857146,2.302521008403361,25.391354647449415,24.752211800705116
MCCAIN,63,38,141,39801,10088,7195,1747,60.317460317460316,2.238095238095238,25.346096831737896,24.280750521195273
BUSH,97,59,207,75153,13436,13795,2369,60.824742268041234,2.134020618556701,17.8781951485636,17.17288872779993
ROMNEY,71,38,151,43039,10294,7900,1877,53.521126760563384,2.1267605633802815,23.917841957294545,23.759493670886076
CLINTON,87,35,100,34776,7174,6334,1293,40.229885057471265,1.1494252873563218,20.62916954221302,20.41364066940322
TRUMP,544,202,572,129230,28363,24034,5210,37.13235294117647,1.0514705882352942,21.94769016482241,21.677623366896896
BIDEN,269,73,163,35899,10102,6827,1883,27.13754646840149,0.6059479553903345,28.140059611688347,27.581661051706458
