debate_id,turn_index,speaker,turn_char_len,turn_word_len,claim_count,claim_chars_total,claim_words_total,mean_rel_start,mean_rel_len
20001003_gore_bush,0,GORE,1742,307,2,99,15,0.32778415614236506,0.028415614236509762
20001003_gore_bush,1,BUSH,945,166,5,441,77,0.48846560846560844,0.09333333333333334
20001003_gore_bush,2,GORE,1176,216,5,619,112,0.5171768707482993,0.10527210884353741
20001003_gore_bush,3,BUSH,968,181,3,180,33,0.27479338842975204,0.06198347107438016
20001003_gore_bush,4,BUSH,518,95,1,78,14,0.277992277992278,0.15057915057915058
20001003_gore_bush,5,GORE,591,108,1,175,29,0.2808798646362098,0.2961082910321489
20001003_gore_bush,6,BUSH,33,6,0,0,0,,
20001003_gore_bush,7,BUSH,2221,397,4,388,63,0.10941017559657812,0.043674020711391266
20001003_gore_bush,8,GORE,1001,183,7,493,94,0.5036392179249323,0.07035821321535608
20001003_gore_bush,9,BUSH,1744,315,4,333,54,0.4610091743119266,0.04773509174311927
20001003_gore_bush,10,GORE,1575,294,9,752,140,0.5186596119929453,0.05305114638447972
20001003_gore_bush,11,BUSH,300,50,0,0,0,,
20001003_gore_bush,12,GORE,85,15,1,58,10,0.3058823529411765,0.6823529411764706
20001003_gore_bush,13,BUSH,831,158,5,347,69,0.54632972322503,0.08351383874849579
20001003_gore_bush,14,GORE,435,83,3,265,50,0.5287356321839081,0.20306513409961688
20001003_gore_bush,15,GORE,8,1,0,0,0,,
20001003_gore_bush,16,BUSH,8,1,0,0,0,,
20001003_gore_bush,17,GORE,76,18,2,52,14,0.4407894736842105,0.34210526315789475
20001003_gore_bush,18,BUSH,439,83,1,89,15,0.5330296127562643,0.20273348519362186
20001003_gore_bush,19,GORE,75,15,0,0,0,,
20001003_gore_bush,20,BUSH,75,13,1,59,10,0.2,0.7866666666666666
20001003_gore_bush,21,GORE,18,4,0,0,0,,
20001003_gore_bush,22,BUSH,84,19,1,33,7,0.5952380952380952,0.39285714285714285
20001003_gore_bush,23,GORE,227,45,2,143,27,0.4713656387665198,0.31497797356828194
20001003_gore_bush,24,GORE,1790,319,5,619,112,0.5754189944134078,0.06916201117318435
20001003_gore_bush,25,BUSH,1172,218,5,281,55,0.45102389078498295,0.04795221843003413
20001003_gore_bush,26,GORE,973,177,4,320,62,0.6215313463514902,0.08221993833504625
20001003_gore_bush,27,BUSH,1557,285,8,467,86,0.3594251766217084,0.03749197174052665
20001003_gore_bush,28,GORE,494,93,2,101,18,0.36133603238866396,0.10222672064777327
20001003_gore_bush,29,BUSH,165,29,2,114,20,0.4878787878787879,0.34545454545454546
20001003_gore_bush,30,GORE,38,9,0,0,0,,
20001003_gore_bush,31,BUSH,1812,344,3,272,48,0.4449963208241354,0.05003679175864606
20001003_gore_bush,32,GORE,1177,217,4,293,53,0.4539082412914189,0.062234494477485136
20001003_gore_bush,33,BUSH,86,15,0,0,0,,
20001003_gore_bush,34,BUSH,95,19,0,0,0,,
20001003_gore_bush,35,GORE,344,64,1,63,12,0.5290697674418605,0.18313953488372092
20001003_gore_bush,36,BUSH,68,15,1,67,15,0.0,0.9852941176470589
20001003_gore_bush,37,BUSH,14,3,1,13,3,0.0,0.9285714285714286
20001003_gore_bush,38,BUSH,894,156,1,60,11,0.7259507829977628,0.06711409395973154
20001003_gore_bush,39,GORE,810,146,2,148,27,0.6537037037037037,0.09135802469135802
20001003_gore_bush,40,BUSH,419,82,1,58,12,0.31026252983293556,0.13842482100238662
20001003_gore_bush,41,GORE,560,111,0,0,0,,
20001003_gore_bush,42,BUSH,159,28,0,0,0,,
20001003_gore_bush,43,GORE,17,3,0,0,0,,
20001003_gore_bush,44,GORE,1527,266,5,320,54,0.204060248853962,0.04191224623444663
20001003_gore_bush,45,BUSH,789,149,0,0,0,,
20001003_gore_bush,46,GORE,1022,187,4,274,49,0.3182485322896282,0.06702544031311154
20001003_gore_bush,47,BUSH,101,17,0,0,0,,
20001003_gore_bush,48,GORE,11,2,0,0,0,,
20001003_gore_bush,49,BUSH,67,14,0,0,0,,
20001003_gore_bush,50,BUSH,3,1,0,0,0,,
