debate_id,speaker,text
20040930_bush_kerry,LEHRER,"Good evening from the University of Miami Convocation Center in Coral Gables, Florida. I’m Jim Lehrer of “The NewsHour” on PBS. And I welcome you to the first of the 2004 presidential debates between President George W. Bush, the Republican nominee, and Senator John Kerry, the Democratic nominee. These debates are sponsored by the Commission on Presidential Debates. Tonight’s will last 90 minutes, following detailed rules of engagement worked out by representatives of the candidates. I have agreed to enforce their rules on them. The umbrella topic is foreign policy and homeland security, but the specific subjects were chosen by me, the questions were composed by me, the candidates have not been told what they are, nor has anyone else. For each question there can only be a two-minute response, a 90- second rebuttal and, at my discretion, a discussion extension of one minute. A green light will come on when 30 seconds remain in any given answer, yellow at 15, red at five seconds, and then flashing red means time’s up. There is also a backup buzzer system if needed. Candidates may not direct a question to each other. There will be two-minute closing statements, but no opening statements. There is an audience here in the hall, but they will remain absolutely silent for the next 90 minutes, except for now, when they join me in welcoming President Bush and Senator Kerry. (APPLAUSE)"
20040930_bush_kerry,LEHRER,"Good evening, Mr. President, Senator Kerry. As determined by a coin toss, the first question goes to you, Senator Kerry. You have two minutes. Do you believe you could do a better job than President Bush in preventing another 9/11-type terrorist attack on the United States?"
20040930_bush_kerry,KERRY,"Yes, I do. But before I answer further, let me thank you for moderating. I want to thank the University of Miami for hosting us. And I know the president will join me in welcoming all of Florida to this debate. You’ve been through the roughest weeks anybody could imagine. Our hearts go out to you. And we admire your pluck and perseverance. I can make American safer than President Bush has made us. And I believe President Bush and I both love our country equally. But we just have a different set of convictions about how you make America safe. I believe America is safest and strongest when we are leading the world and we are leading strong alliances. I’ll never give a veto to any country over our security. But I also know how to lead those alliances. This president has left them in shatters across the globe, and we’re now 90 percent of the casualties in Iraq and 90 percent of the costs. I think that’s wrong, and I think we can do better. I have a better plan for homeland security. I have a better plan to be able to fight the war on terror by strengthening our military, strengthening our intelligence, by going after the financing more authoritatively, by doing what we need to do to rebuild the alliances, by reaching out to the Muslim world, which the president has almost not done, and beginning to isolate the radical Islamic Muslims, not have them isolate the United States of America. I know I can do a better job in Iraq. I have a plan to have a summit with all of the allies, something this president has not yet achieved, not yet been able to do to bring people to the table. We can do a better job of training the Iraqi forces to defend themselves, and I know that we can do a better job of preparing for elections. All of these, and especially homeland security, which we’ll talk about a little bit later."
20040930_bush_kerry,LEHRER,"Mr. President, you have a 90-second rebuttal."
20040930_bush_kerry,BUSH,"I, too, thank the University of Miami, and say our prayers are with the good people of this state, who’ve suffered a lot. September the 11th changed how America must look at the world. And since that day, our nation has been on a multi-pronged strategy to keep our country safer. We pursued Al Qaida wherever Al Qaida tries to hide. Seventy-five percent of known Al Qaida leaders have been brought to justice. The rest of them know we’re after them. We’ve upheld the doctrine that said if you harbor a terrorist, you’re equally as guilty as the terrorist. And the Taliban are no longer in power. Ten million people have registered to vote in Afghanistan in the upcoming presidential election. In Iraq, we saw a threat, and we realized that after September the 11th, we must take threats seriously, before they fully materialize. Saddam Hussein now sits in a prison cell. America and the world are safer for it. We continue to pursue our policy of disrupting those who proliferate weapons of mass destruction. Libya has disarmed. The A.Q. Khan network has been brought to justice. And, as well, we’re pursuing a strategy of freedom around the world, because I understand free nations will reject terror. Free nations will answer the hopes and aspirations of their people. Free nations will help us achieve the peace we all want."
20040930_bush_kerry,LEHRER,"New question, Mr. President, two minutes. Do you believe the election of Senator Kerry on November the 2nd would increase the chances of the U.S. being hit by another 9/11-type terrorist attack?"
20040930_bush_kerry,BUSH,"No, I don’t believe it’s going to happen. I believe I’m going to win, because the American people know I know how to lead. I’ve shown the American people I know how to lead. I have — I understand everybody in this country doesn’t agree with the decisions I’ve made. And I made some tough decisions. But people know where I stand. People out there listening know what I believe. And that’s how best it is to keep the peace. This nation of ours has got a solemn duty to defeat this ideology of hate. And that’s what they are. This is a group of killers who will not only kill here, but kill children in Russia, that’ll attack unmercifully in Iraq, hoping to shake our will. We have a duty to defeat this enemy. We have a duty to protect our children and grandchildren. The best way to defeat them is to never waver, to be strong, to use every asset at our disposal, is to constantly stay on the offensive and, at the same time, spread liberty. And that’s what people are seeing now is happening in Afghanistan. Ten million citizens have registered to vote. It’s a phenomenal statistic. That if given a chance to be free, they will show up at the polls. Forty-one percent of those 10 million are women. In Iraq, no doubt about it, it’s tough. It’s hard work. It’s incredibly hard. You know why? Because an enemy realizes the stakes. The enemy understands a free Iraq will be a major defeat in their ideology of hatred. That’s why they’re fighting so vociferously. They showed up in Afghanistan when they were there, because they tried to beat us and they didn’t. And they’re showing up in Iraq for the same reason. They’re trying to defeat us. And if we lose our will, we lose. But if we remain strong and resolute, we will defeat this enemy."
20040930_bush_kerry,LEHRER,"Ninety second response, Senator Kerry."
20040930_bush_kerry,KERRY,"I believe in being strong and resolute and determined. And I will hunt down and kill the terrorists, wherever they are. But we also have to be smart, Jim. And smart means not diverting your attention from the real war on terror in Afghanistan against Osama bin Laden and taking if off to Iraq where the 9/11 Commission confirms there was no connection to 9/11 itself and Saddam Hussein, and where the reason for going to war was weapons of mass destruction, not the removal of Saddam Hussein. This president has made, I regret to say, a colossal error of judgment. And judgment is what we look for in the president of the United States of America. I’m proud that important military figures who are supporting me in this race: former Chairman of the Joint Chiefs of Staff John Shalikashvili; just yesterday, General Eisenhower’s son, General John Eisenhower, endorsed me; General Admiral William Crown; General Tony McBeak, who ran the Air Force war so effectively for his father — all believe I would make a stronger commander in chief. And they believe it because they know I would not take my eye off of the goal: Osama bin Laden. Unfortunately, he escaped in the mountains of Tora Bora. We had him surrounded. But we didn’t use American forces, the best trained in the world, to go kill him. The president relied on Afghan warlords and he outsourced that job too. That’s wrong."
20040930_bush_kerry,LEHRER,"New question, two minutes, Senator Kerry. “Colossal misjudgments.” What colossal misjudgments, in your opinion, has President Bush made in these areas?"
