row,sentence,check_worthy,check_worthy_span,error
2,We want to welcome viewers watching on ABC and around the world tonight.,True,around the world tonight,
28,Thank you.,False,,
33,"Good evening, we are looking forward to a spirited and thoughtful debate.",False,,
67,They've left the tariffs on.,True,They've left the tariffs on,
79,And you see what's happening.,False,,
82,You look at Aurora in Colorado.,True,Aurora in Colorado,
92,I created one of the greatest economies in the history of our country.,True,one of the greatest economies in the history of our country,
127,We got gowns.,True,gowns,
128,We got masks.,True,We got masks,
141,"I am offering what I describe as an opportunity economy, and the best economists in our country, if not the world, have reviewed our relative plans for the future of America.",True,"best economists in our country, if not the world,",
151,"It's a plan that's gonna bring up our worth, our value as a country.",False,,
164,As you know many economists say that with tariffs at that level costs are then passed onto the consumer.,True,with tariffs at that level costs are then passed onto the consumer.,
168,"I charge, I was the only president ever--China was paying us hundreds of billions of dollars and so were other countries and you know if she doesn't like 'em they shouldaa gone out and they should have immediately cut the tariffs but those tariffs are there three and a half years now under their administration.",True,China was paying us hundreds of billions of dollars,
183,When we know that Xi was responsible for lacking and not giving us transparency about the origins of COVID.,True,Xi was responsible for lacking and not giving us transparency about the origins of COVID,
186,"We hardly make chips anymore because of, uh, philosophies like they have and policies like they have.",True,We hardly make chips anymore,
187,I don't say her because she has no policy.,True,she has no policy,
191,She's gone to my philosophy.,True,gone to my philosophy,
194,She's a Marxist.,True,Marxist,
202,They're criminals.,True,They're criminals,
206,"Well, bad immigration is the worst thing that can happen to our economy.",True,bad immigration,
223,"And that's why I did that, because that predominates.",False,,
236,Ronald Reagan did also.,True,Ronald Reagan,
239,But we were able to get it.,False,,
255,"Madam Vice-President, I want to get your response to President Trump.",True,Madam Vice-President,
266,That is immoral.,False,,
285,Because we've gotten what everybody wanted.,True,we've gotten what everybody wanted,
286,"Democrats, Republicans and everybody else and every legal scholar wanted it to be brought back into the states.",True,everybody else and every legal scholar,
291,The states are now voting.,True,The states are now voting,
299,It's impossible for her to get the vote.,True,her to get the vote,
300,Especially now with a 50-50 in--essentially 50-50 in both Senate and the House.,True,50-50 in both Senate and the House,
306,When they said they're gonna get student loans terminated and it ended up being a total catastrophe.,True,they're gonna get student loans terminated,
349,They know that and everybody else knows it.,True,They know that,
376,It would have allowed us to stem the flow of fentanyl coming into the United States.,True,allowed us to stem the flow of fentanyl coming into the United States.,
382,Because he'd prefer to run on a problem instead of fixing a problem.,True,he'd prefer to run on a problem instead of fixing a problem,
387,"You will see, during the course of his rallies he talks about fictional characters like Hannibal Lecter.",True,he talks about fictional characters like Hannibal Lecter,
389,And what you will also notice is that people start leaving his rallies early out of exhaustion and boredom.,True,people start leaving his rallies early,
391,"You will not hear him talk about your needs, your dreams, and your ne--your desires.",False,,
416,A lotta towns don't want to talk about it because they're so embarrassed by it.,False,,
418,The people that came in.,True,came in,
440,I'm taking it from the city manager--,True,from the city manager,
447,"His former Chief of Staff, a four-star general, has said he has contempt for the Constitution of the United States.",True,a four-star general,
